KEY;1_NOM;2_GEN;3_DAT;4_ACC;5_NOM_ART;6_GEN_ART;7_DAT_ART;8_ACC_ART
teoría Johnson-Tanaka;la teoría Johnson-Tanaka;de la teoría Johnson-Tanaka;a la teoría Johnson-Tanaka;a la teoría Johnson-Tanaka;la teoría Johnson-Tanaka;de la teoría Johnson-Tanaka;a la teoría Johnson-Tanaka;a la teoría Johnson-Tanaka
torretas armadas;las torretas armadas;de las torretas armadas;a las torretas armadas;a las torretas armadas;las torretas armadas;de las torretas armadas;a las torretas armadas;a las torretas armadas
torretas de cohetes;las torretas de cohetes;de las torretas de cohetes;a las torretas de cohetes;a las torretas de cohetes;las torretas de cohetes;de las torretas de cohetes;a las torretas de cohetes;a las torretas de cohetes
torretas desplegables;las torretas desplegables;de las torretas desplegables;a las torretas desplegables;a las torretas desplegables;las torretas desplegables;de las torretas desplegables;a las torretas desplegables;a las torretas desplegables
torretas francotiradoras;las torretas francotiradoras;de las torretas francotiradoras;a las torretas francotiradoras;a las torretas francotiradoras;las torretas francotiradoras;de las torretas francotiradoras;a las torretas francotiradoras;a las torretas francotiradoras
trampas explosivas improvisadas;las trampas explosivas improvisadas;de las trampas explosivas improvisadas;a las trampas explosivas improvisadas;a las trampas explosivas improvisadas;las trampas explosivas improvisadas;de las trampas explosivas improvisadas;a las trampas explosivas improvisadas;a las trampas explosivas improvisadas
transbordadores;los transbordadores;de los transbordadores;a los transbordadores;a los transbordadores;los transbordadores;de los transbordadores;a los transbordadores;a los transbordadores
transferencia de habilidades;la transferencia de habilidades;de la transferencia de habilidades;a la transferencia de habilidades;a la transferencia de habilidades;la transferencia de habilidades;de la transferencia de habilidades;a la transferencia de habilidades;a la transferencia de habilidades
transferencia exótica de momentum;la transferencia exótica de momentum;de la transferencia exótica de momentum;a la transferencia exótica de momentum;a la transferencia exótica de momentum;la transferencia exótica de momentum;de la transferencia exótica de momentum;a la transferencia exótica de momentum;a la transferencia exótica de momentum
vestimentas formales;las vestimentas formales;de las vestimentas formales;a las vestimentas formales;a las vestimentas formales;las vestimentas formales;de las vestimentas formales;a las vestimentas formales;a las vestimentas formales
vestimentas nobles;las vestimentas nobles;de las vestimentas nobles;a las vestimentas nobles;a las vestimentas nobles;las vestimentas nobles;de las vestimentas nobles;a las vestimentas nobles;a las vestimentas nobles
vestimentas reales;las vestimentas reales;de las vestimentas reales;a las vestimentas reales;a las vestimentas reales;las vestimentas reales;de las vestimentas reales;a las vestimentas reales;a las vestimentas reales
vuelos a corta distancia;los vuelos a corta distancia;de los vuelos a corta distancia;a los vuelos a corta distancia;a los vuelos a corta distancia;los vuelos a corta distancia;de los vuelos a corta distancia;a los vuelos a corta distancia;a los vuelos a corta distancia
